variable_name;country;voivodship;entrants_status;sex;information_type_with_measure_unit;year;value;
Number of persons who took/passed a matriculation exam;Poland;Kujawsko-pomorskie;took;men;value [person];2013;7208;
Number of persons who took/passed a matriculation exam;Poland;Kujawsko-pomorskie;took;women;value [person];2013;9346;
Number of persons who took/passed a matriculation exam;Poland;Kujawsko-pomorskie;took;men;value [person];2014;6700;
Number of persons who took/passed a matriculation exam;Poland;Kujawsko-pomorskie;took;women;value [person];2014;8779;
Number of persons who took/passed a matriculation exam;Poland;Kujawsko-pomorskie;took;men;value [person];2015;6593;
Number of persons who took/passed a matriculation exam;Poland;Kujawsko-pomorskie;took;women;value [person];2015;8295;
Number of persons who took/passed a matriculation exam;Poland;Kujawsko-pomorskie;took;men;value [person];2016;6002;
Number of persons who took/passed a matriculation exam;Poland;Kujawsko-pomorskie;took;women;value [person];2016;7560;
Number of persons who took/passed a matriculation exam;Poland;Kujawsko-pomorskie;took;men;value [person];2017;6165;
Number of persons who took/passed a matriculation exam;Poland;Kujawsko-pomorskie;took;women;value [person];2017;7359;
Number of persons who took/passed a matriculation exam;Poland;Kujawsko-pomorskie;took;men;value [person];2018;5615;
Number of persons who took/passed a matriculation exam;Poland;Kujawsko-pomorskie;took;women;value [person];2018;6883;
Number of persons who took/passed a matriculation exam;Poland;Kujawsko-pomorskie;took;men;value [person];2019;5814;
Number of persons who took/passed a matriculation exam;Poland;Kujawsko-pomorskie;took;women;value [person];2019;6792;
Number of persons who took/passed a matriculation exam;Poland;Kujawsko-pomorskie;took;men;value [person];2020;6057;
Number of persons who took/passed a matriculation exam;Poland;Kujawsko-pomorskie;took;women;value [person];2020;7264;
Number of persons who took/passed a matriculation exam;Poland;Kujawsko-pomorskie;took;men;value [person];2021;6389;
Number of persons who took/passed a matriculation exam;Poland;Kujawsko-pomorskie;took;women;value [person];2021;7735;
Number of persons who took/passed a matriculation exam;Poland;Kujawsko-pomorskie;took;men;value [person];2022;6355;
Number of persons who took/passed a matriculation exam;Poland;Kujawsko-pomorskie;took;women;value [person];2022;7394;
Number of persons who took/passed a matriculation exam;Poland;Kujawsko-pomorskie;took;men;value [person];2023;5558;
Number of persons who took/passed a matriculation exam;Poland;Kujawsko-pomorskie;took;women;value [person];2023;6757;
Number of persons who took/passed a matriculation exam;Poland;Kujawsko-pomorskie;passed;men;value [person];2010;6642;
Number of persons who took/passed a matriculation exam;Poland;Kujawsko-pomorskie;passed;women;value [person];2010;8803;
Number of persons who took/passed a matriculation exam;Poland;Kujawsko-pomorskie;passed;men;value [person];2011;5733;
Number of persons who took/passed a matriculation exam;Poland;Kujawsko-pomorskie;passed;women;value [person];2011;7696;
Number of persons who took/passed a matriculation exam;Poland;Kujawsko-pomorskie;passed;men;value [person];2012;5798;
Number of persons who took/passed a matriculation exam;Poland;Kujawsko-pomorskie;passed;women;value [person];2012;7689;
Number of persons who took/passed a matriculation exam;Poland;Kujawsko-pomorskie;passed;men;value [person];2013;5814;
Number of persons who took/passed a matriculation exam;Poland;Kujawsko-pomorskie;passed;women;value [person];2013;7705;
Number of persons who took/passed a matriculation exam;Poland;Kujawsko-pomorskie;passed;men;value [person];2014;4808;
Number of persons who took/passed a matriculation exam;Poland;Kujawsko-pomorskie;passed;women;value [person];2014;6166;
Number of persons who took/passed a matriculation exam;Poland;Kujawsko-pomorskie;passed;men;value [person];2015;4930;
Number of persons who took/passed a matriculation exam;Poland;Kujawsko-pomorskie;passed;women;value [person];2015;5990;
Number of persons who took/passed a matriculation exam;Poland;Kujawsko-pomorskie;passed;men;value [person];2016;4736;
Number of persons who took/passed a matriculation exam;Poland;Kujawsko-pomorskie;passed;women;value [person];2016;5920;
Number of persons who took/passed a matriculation exam;Poland;Kujawsko-pomorskie;passed;men;value [person];2017;4757;
Number of persons who took/passed a matriculation exam;Poland;Kujawsko-pomorskie;passed;women;value [person];2017;5791;
Number of persons who took/passed a matriculation exam;Poland;Kujawsko-pomorskie;passed;men;value [person];2018;4360;
Number of persons who took/passed a matriculation exam;Poland;Kujawsko-pomorskie;passed;women;value [person];2018;5415;
Number of persons who took/passed a matriculation exam;Poland;Kujawsko-pomorskie;passed;men;value [person];2019;4506;
Number of persons who took/passed a matriculation exam;Poland;Kujawsko-pomorskie;passed;women;value [person];2019;5361;
Number of persons who took/passed a matriculation exam;Poland;Kujawsko-pomorskie;passed;men;value [person];2020;4230;
Number of persons who took/passed a matriculation exam;Poland;Kujawsko-pomorskie;passed;women;value [person];2020;5286;
Number of persons who took/passed a matriculation exam;Poland;Kujawsko-pomorskie;passed;men;value [person];2021;4360;
Number of persons who took/passed a matriculation exam;Poland;Kujawsko-pomorskie;passed;women;value [person];2021;5539;
Number of persons who took/passed a matriculation exam;Poland;Kujawsko-pomorskie;passed;men;value [person];2022;4832;
Number of persons who took/passed a matriculation exam;Poland;Kujawsko-pomorskie;passed;women;value [person];2022;5637;
Number of persons who took/passed a matriculation exam;Poland;Kujawsko-pomorskie;passed;men;value [person];2023;4707;
Number of persons who took/passed a matriculation exam;Poland;Kujawsko-pomorskie;passed;women;value [person];2023;5668;
